gene_id	AB_1	AB_2	AB_3	P1_1	P1_2	P1_3
WBGene00000749	0	0	0	0	0	0
WBGene00000750	0	0	0	0	0	0
WBGene00000751	0	0	0	7	0	0
WBGene00000752	1	0	0	0	0	0
WBGene00000753	0	1	0	0	0	0
WBGene00000754	6	5	2	32	0	1
WBGene00000755	0	0	0	0	0	0
WBGene00000756	0	0	0	0	0	1
WBGene00000757	1	0	0	8	0	0
WBGene00000758	0	0	0	0	0	0
WBGene00000759	0	0	0	0	0	0
WBGene00000760	0	0	1	0	0	0
WBGene00000761	1048	1692	2747	989	1400	2909
WBGene00000762	912	1558	3166	1144	1021	2276
WBGene00000763	268	591	1235	449	362	902
WBGene00000764	358	512	1185	571	357	1053
WBGene00000765	2693	4734	7815	2096	2919	6293
WBGene00000766	1914	2489	4181	1225	1585	2954
WBGene00000767	2921	5156	8595	1723	4818	9677
WBGene00000768	0	0	21	0	5	0
WBGene00000770	2190	1733	3348	2043	1812	3829
WBGene00000771	0	0	0	0	0	0
WBGene00000772	17470	23981	31485	8605	15882	29656
